"Date","Revenue(in Crores)","Expenses(in Crores)","Profits(in Crores)","Other Income"
"Mar 2020",11782,7279,3857,668
"Jun 2020",10478,7533,2511,925
"Sep 2020",12077,7676,3368,582
"Dec 2021",13080,8295,3527,546
"Mar 2021",14342,9471,3755,579
"Jun 2021",13247,8804,3276,447
"Sep 2021",13757,8740,3714,469
"Dec 2021",17108,11510,4057,422
