"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Asian Paints Limited","52.79","47.21","0","Revised","31-MAR-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_147118_246434_30042020101402_WEB.xml"
"Asian Paints Limited","52.79","47.21","0","-","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_150611_294606_21072020080026_WEB.xml"
"Asian Paints Limited","52.79","47.21","0","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_153187_348906_21102020062134_WEB.xml"
"Asian Paints Limited","52.79","47.21","0","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_155530_397111_21012021070705_WEB.xml"
"Asian Paints Limited","52.79","47.21","0","-","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_158239_442665_21042021085802_WEB.xml"
"Asian Paints Limited","52.79","47.21","0","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_160011_490542_19072021092731_WEB.xml"
"Asian Paints Limited","52.79","47.18","0.02","Revised","30-SEP-2021","21-OCT-2021","26-OCT-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163178_544360_21102021091542_WEB.xml"
"Asian Paints Limited","52.63","47.35","0.02","-","31-DEC-2021","18-JAN-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_165071_592646_18012022111345_WEB.xml"
"Asian Paints Limited","52.63","47.35","0.02","-","31-MAR-2022","21-APR-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_168305_646802_21042022082654_WEB.xml"
