"Date","Revenue(in Crores)","Expenses(in Crores)","Profits(in Crores)","Other Income"
"Jun 2020",88253 ,71378,13233,9676
"Sep 2020",111236,92291,9567,4354
"Dec 2021",117860,96294,13101,4407
"Mar 2021",149575,126224,13227,4048
"Jun 2021",139949,116618,12273,4219
"Sep 2021",167611,141591,13680,4263
"Dec 2021",185027,15532,18549,7016
"Mar 2022",207375,176009,16203,2602
