Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,277.299988,277.299988,274.049988,274.950012,230.410690,4499390
2017-05-15,275.899994,278.899994,275.500000,277.950012,232.924713,5462855
2017-05-16,278.500000,284.299988,278.000000,283.450012,237.533737,11204308
2017-05-17,284.100006,284.399994,279.250000,281.649994,236.025345,8297700
2017-05-18,278.000000,281.049988,277.049988,277.899994,232.882813,7924261
2017-05-19,282.250000,295.649994,281.950012,286.200012,239.838303,35724128
2017-05-22,292.450012,304.799988,291.299988,303.600006,254.419662,35939315
2017-05-23,301.899994,303.899994,298.250000,300.149994,251.528534,19784738
2017-05-24,300.000000,301.950012,297.899994,299.899994,251.319016,9457848
2017-05-25,300.000000,304.700012,295.350006,300.049988,251.444702,22769975
2017-05-26,302.000000,313.799988,299.549988,309.100006,259.028717,21742467
2017-05-29,304.000000,319.850006,303.500000,315.850006,264.685272,19665146
2017-05-30,312.899994,315.200012,310.049988,311.450012,260.998016,8547146
2017-05-31,311.450012,313.399994,307.000000,311.799988,261.291321,12308066
2017-06-01,312.000000,316.750000,310.799988,314.200012,263.302521,8253042
2017-06-02,316.100006,319.899994,315.200012,319.200012,267.492554,11073749
2017-06-05,315.000000,318.250000,313.299988,317.450012,270.044617,9482413
2017-06-06,317.500000,319.000000,309.299988,311.049988,264.600281,9841205
2017-06-07,311.299988,314.750000,310.350006,312.250000,265.621124,11534375
2017-06-08,313.000000,313.250000,309.399994,311.600006,265.068176,7781415
2017-06-09,310.750000,312.600006,304.700012,306.000000,260.304474,10065468
2017-06-12,307.000000,307.500000,302.500000,304.399994,258.943329,6266299
2017-06-13,305.049988,306.000000,302.200012,305.250000,259.666443,5107002
2017-06-14,304.950012,306.000000,299.149994,299.850006,255.072876,14574048
2017-06-15,302.950012,302.950012,299.500000,301.899994,256.816711,7427656
2017-06-16,302.500000,309.600006,302.500000,306.799988,260.984955,12323676
2017-06-19,309.000000,311.850006,308.100006,310.899994,264.472717,6982651
2017-06-20,312.000000,312.200012,308.100006,308.700012,262.601288,8260929
2017-06-21,309.399994,311.000000,307.200012,308.950012,262.813965,8279767
2017-06-22,308.649994,314.200012,308.200012,311.299988,264.812988,8944754
2017-06-23,310.000000,312.899994,308.600006,311.000000,264.557770,7176861
2017-06-27,311.750000,316.500000,311.000000,312.350006,265.706177,9688675
2017-06-28,311.600006,311.600006,307.100006,308.350006,262.303528,7919072
2017-06-29,309.100006,313.250000,308.600006,311.600006,265.068176,9929212
2017-06-30,310.250000,324.700012,310.250000,323.649994,275.318756,23196959
2017-07-03,346.000000,354.799988,340.299988,342.500000,291.353821,47079622
