"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Infosys Limited","13.15","86.43","0.42","-","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_150201_292484_20072020060112_WEB.xml"
"Infosys Limited","12.95","86.65","0.4","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_152202_343566_16102020074432_WEB.xml"
"Infosys Limited","12.95","86.67","0.38","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_154326_388370_13012021062904_WEB.xml"
"Infosys Limited","12.95","86.69","0.36","-","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_157001_434730_14042021091358_WEB.xml"
"Infosys Limited","12.95","86.69","0.36","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_158869_478169_09072021093853_WEB.xml"
"Infosys Limited","13.12","86.53","0.35","-","30-SEP-2021","19-OCT-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_162513_538030_19102021032428_WEB.xml"
"Infosys Limited","13.12","86.54","0.34","-","31-DEC-2021","12-JAN-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_164319_585353_12012022072813_WEB.xml"
"Infosys Limited","13.11","86.56","0.33","-","31-MAR-2022","19-APR-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_167732_641638_19042022061812_WEB.xml"
