"Date","Revenue(in Crores)","Expenses(in Crores)","Profits(in Crores)","Other Income"
"Jun 2020",2923,2453,218,47
"Sep 2020",5350,4085,830,94
"Dec 2021",6788,5001,1238,123
"Mar 2021",6651,5333,852,81
"Jun 2021",5585,4674,568,90
"Sep 2021",7096,6192,596,148
"Dec 2021",8527,6985,1016,87
"Mar 2022",7893,6449,850,-26
