"Date","Revenue(in Crores)","Expenses(in Crores)","Profits(in Crores)","Other Income"
"Jun 2020",14923	,11841	,2390,652
"Sep 2020",15097	,12035	,2466,555
"Dec 2021",15670	,12290	,2968,664
"Mar 2021",16245 ,12631	,2972,534
"Jun 2021",18467	,13734	,3243,579
"Sep 2021",19669 ,14553	,2931,505
"Dec 2021",20315 ,15218	,2969,484
"Mar 2022",20861 ,16134	,3087,502
