Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,1170.199951,1179.000000,1127.000000,1132.949951,1098.516846,2500503
2017-05-15,1142.900024,1149.900024,1135.000000,1148.050049,1113.158325,729473
2017-05-16,1148.900024,1149.699951,1129.599976,1142.849976,1108.116089,913600
2017-05-17,1143.000000,1159.000000,1136.550049,1154.949951,1119.848267,579709
2017-05-18,1147.150024,1159.800049,1140.000000,1151.349976,1116.357666,702003
2017-05-19,1139.849976,1144.800049,1098.800049,1123.150024,1089.014893,1732673
2017-05-22,1124.250000,1137.849976,1104.000000,1112.550049,1078.737061,1058940
2017-05-23,1119.949951,1126.550049,1091.449951,1098.900024,1065.501709,1374392
2017-05-24,1095.000000,1107.050049,1080.500000,1091.199951,1058.035889,1551698
2017-05-25,1095.550049,1125.000000,1090.050049,1113.199951,1079.367188,1226634
2017-05-26,1124.949951,1148.800049,1124.000000,1132.449951,1098.032104,915210
2017-05-29,1125.000000,1150.000000,1125.000000,1146.550049,1111.703613,460152
2017-05-30,1150.000000,1166.099976,1147.000000,1159.449951,1124.211426,460978
2017-05-31,1159.000000,1165.000000,1144.550049,1151.199951,1116.212280,1488564
2017-06-01,1150.000000,1162.000000,1133.099976,1160.449951,1125.181152,578030
2017-06-02,1161.199951,1174.900024,1160.199951,1164.300049,1128.914063,437401
2017-06-05,1165.000000,1176.400024,1159.500000,1161.550049,1126.247925,425935
2017-06-06,1162.150024,1165.300049,1141.050049,1153.150024,1118.103271,787798
2017-06-07,1154.000000,1168.000000,1146.000000,1161.500000,1126.199341,531046
2017-06-08,1174.800049,1174.800049,1140.199951,1143.300049,1108.552490,1202971
2017-06-09,1145.000000,1157.599976,1132.150024,1155.750000,1120.624023,559008
2017-06-12,1154.400024,1158.650024,1142.599976,1150.699951,1115.727539,649908
2017-06-13,1151.199951,1154.250000,1142.250000,1149.699951,1114.757690,855507
2017-06-14,1151.000000,1152.849976,1126.250000,1149.599976,1114.660889,931530
2017-06-15,1148.000000,1150.000000,1133.349976,1140.300049,1107.570313,1003963
2017-06-16,1142.699951,1149.800049,1128.449951,1145.400024,1112.524048,1184164
2017-06-19,1149.000000,1158.000000,1137.949951,1154.150024,1121.023071,808994
2017-06-20,1155.099976,1156.849976,1144.500000,1149.449951,1116.457764,804319
2017-06-21,1158.000000,1160.400024,1149.900024,1155.400024,1122.237305,553929
2017-06-22,1157.000000,1171.000000,1156.599976,1162.550049,1129.181885,651018
2017-06-23,1163.000000,1164.500000,1146.099976,1153.650024,1120.537109,596082
2017-06-27,1157.000000,1168.349976,1130.000000,1134.150024,1101.597046,484244
2017-06-28,1125.000000,1128.849976,1099.000000,1109.150024,1077.314453,930404
2017-06-29,1112.000000,1126.949951,1100.000000,1104.550049,1072.846802,460382
2017-06-30,1099.949951,1112.000000,1083.300049,1102.949951,1071.292480,617697
2017-07-03,1107.000000,1123.449951,1104.199951,1120.250000,1088.095947,512386
2017-07-04,1123.800049,1126.449951,1106.800049,1108.550049,1076.731812,549148
