"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Tata Motors Limited","42.39","57.61","0","-","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_150641_294734_21072020100652_WEB.xml"
"Tata Motors Limited","42.39","57.61","0","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_151914_340757_15102020125134_WEB.xml"
"Tata Motors Limited","42.39","57.61","0","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_154312_388110_13012021053431_WEB.xml"
"Tata Motors Limited","46.41","53.59","0","-","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_157610_439755_19042021045251_WEB.xml"
"Tata Motors Limited","46.41","53.59","0","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_160107_491119_20072021010059_WEB.xml"
"Tata Motors Limited","46.41","53.59","0","-","30-SEP-2021","21-OCT-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_162983_542389_21102021113314_WEB.xml"
"Tata Motors Limited","46.4","53.6","0","Revised","31-DEC-2021","18-JAN-2022","04-APR-2022","https://archives.nseindia.com/corporate/xbrl/SHP_164961_591689_18012022032527_WEB.xml"
"Tata Motors Limited","46.4","53.6","0","-","31-MAR-2022","19-APR-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_167745_641790_19042022065807_WEB.xml"
