"Date","Revenue(in Crores)","Expenses(in Crores)","Profits(in Crores)","Other Income"
"Jun 2020",23665,17554,4233,475
"Sep 2020",24570,17487,4845,570
"Dec 2021",25970,18512,5197,611
"Mar 2021",26311,19040,5076,545
"Jun 2021",27896,20464,5195,622
"Sep 2021",29602,21771,5421,524
"Dec 2021",31867,23484,5809,524
"Mar 2022",32276,24430,5686,512
