"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_149426_287860_16072020122107_WEB.xml"
"Hindustan Unilever Limited","61.9","38.1","0","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_151996_341675_15102020051401_WEB.xml"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_155325_395767_20012021062619_WEB.xml"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_156995_434629_14042021082018_WEB.xml"
"Hindustan Unilever Limited","61.9","38.08","0","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_159362_484437_14072021091228_WEB.xml"
"Hindustan Unilever Limited","61.9","38.08","0","-","30-SEP-2021","14-OCT-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_161956_533722_14102021074838_WEB.xml"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-DEC-2021","12-JAN-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_164326_585421_12012022090542_WEB.xml"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-MAR-2022","19-APR-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_167701_641362_19042022052201_WEB.xml"
