"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Tata Consultancy Services Limited","72.05","27.95","0","-","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_148855_277676_09072020101916_WEB.xml"
"Tata Consultancy Services Limited","72.05","27.95","0","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_151015_328941_07102020085558_WEB.xml"
"Tata Consultancy Services Limited","72.05","27.95","0","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_153812_381474_08012021083106_WEB.xml"
"Tata Consultancy Services Limited","72.19","27.81","0","-","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_156693_430485_12042021073053_WEB.xml"
"Tata Consultancy Services Limited","72.19","27.81","0","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_160330_492524_20072021082520_WEB.xml"
"Tata Consultancy Services Limited","72.19","27.81","0","-","30-SEP-2021","08-OCT-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_161143_525982_08102021070954_WEB.xml"
"Tata Consultancy Services Limited","72.19","27.81","0","-","31-DEC-2021","12-JAN-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_164324_585396_12012022081934_WEB.xml"
"Tata Consultancy Services Limited","72.3","27.7","0","-","31-MAR-2022","12-APR-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_166696_632628_12042022065910_WEB.xml"
