"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"HDFC Bank Limited","26.1","73.9","0","-","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_149011_280099_12072020024848_WEB.xml"
"HDFC Bank Limited","26.02","73.98","0","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_151256_332124_09102020085105_WEB.xml"
"HDFC Bank Limited","26","74","0","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_153774_380981_08012021045420_WEB.xml"
"HDFC Bank Limited","25.97","74.03","0","-","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_156498_428038_10042021060718_WEB.xml"
"HDFC Bank Limited","25.89","74.11","0","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_158924_478652_10072021055757_WEB.xml"
"HDFC Bank Limited","25.83","74.17","0","-","30-SEP-2021","19-OCT-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_162639_539128_19102021074023_WEB.xml"
"HDFC Bank Limited","25.8","74.2","0","-","31-DEC-2021","10-JAN-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_163978_581800_10012022085031_WEB.xml"
"HDFC Bank Limited","25.78","74.22","0","-","31-MAR-2022","09-APR-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_166286_627454_09042022093633_WEB.xml"
