"COMPANY","PROMOTERS","PUBLIC","EMPLOYEE TRUSTS","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Reliance Industries Limited","50.37","49.63","0","Revised","30-JUN-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_150596_294512_21072020072153_WEB.xml"
"Reliance Industries Limited","50.49","49.51","0","-","30-SEP-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_153247_349236_21102020111054_WEB.xml"
"Reliance Industries Limited","50.54","49.46","0","-","31-DEC-2020",,,"https://archives.nseindia.com/corporate/xbrl/SHP_155478_396812_21012021051900_WEB.xml"
"Reliance Industries Limited","50.62","49.38","0","-","08-DEC-2021","18-DEC-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_163339_571599_18122021033851_WEB.xml"
"Reliance Industries Limited","50.58","49.42","0","-","31-MAR-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_158025_441654_20042021105405_WEB.xml"
"Reliance Industries Limited","50.59","49.41","0","-","30-JUN-2021",,,"https://archives.nseindia.com/corporate/xbrl/SHP_160568_494125_21072021103255_WEB.xml"
"Reliance Industries Limited","50.61","49.39","0","-","30-SEP-2021","21-OCT-2021",,"https://archives.nseindia.com/corporate/xbrl/SHP_163182_544379_21102021092856_WEB.xml"
"Reliance Industries Limited","50.61","49.39","0","-","31-DEC-2021","21-JAN-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_165605_597539_21012022080551_WEB.xml"
"Reliance Industries Limited","50.66","49.34","0","-","31-MAR-2022","21-APR-2022",,"https://archives.nseindia.com/corporate/xbrl/SHP_168292_646671_21042022071744_WEB.xml"
