"Date","Revenue(in Crores)","Expenses(in Crores)","Profits(in Crores)","Other Income"
"Jun 2020",10731	,8036	 ,1898,35
"Sep 2020",11683	,8758	 ,1974,10
"Dec 2021",12181	,9218	 ,1937,3
"Mar 2021",12433 ,9391	 ,2186,123
"Jun 2021",12194	,9273	 ,2097,39
"Sep 2021",13046 ,9820	 ,2181,51
"Dec 2021",13439 ,10030	,2297,-7
"Mar 2022",13767 ,10466	,2304,136
