"Date","Revenue(in Crores)","Expenses(in Crores)","Profits(in Crores)","Other Income"
"Jun 2020",38322,28298,7008,598
"Sep 2020",40135,11513,7475,-304
"Dec 2021",42015,29807,8701,691
"Mar 2021",43705,30904,9246,931
"Jun 2021",45411,32748,9008,721
"Sep 2021",46867,33750,9624,1111
"Dec 2021",48885,35450,9769,1205
"Mar 2022",50591,36746,9926,981
